G,Date,Location,Opp,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
20,2024-01-27,@,Alabama,L,88,109,30,71,0.423,11,28,0.393,17,27,0.63,12,30,13,7,4,10,24,,35,63,0.556,14,34,0.412,25,28,0.893,10,37,23,8,4,12,19,LSU
21,2024-02-03,,Arkansas,W,95,74,29,53,0.547,12,23,0.522,25,28,0.893,4,28,17,5,6,10,25,,24,55,0.436,3,13,0.231,23,33,0.697,6,26,10,8,3,10,20,LSU
22,2024-02-07,@,Tennessee,L,68,88,24,58,0.414,6,25,0.24,14,22,0.636,16,37,7,5,0,15,14,,31,56,0.554,11,24,0.458,15,20,0.75,5,25,23,13,6,7,16,LSU
23,2024-02-10,,Alabama,L,92,109,33,60,0.55,7,19,0.368,19,26,0.731,3,25,15,5,4,12,16,,38,81,0.469,18,44,0.409,15,17,0.882,15,38,25,8,2,8,18,LSU
24,2024-02-13,@,Florida,L,80,82,28,55,0.509,11,21,0.524,13,21,0.619,7,26,11,6,2,10,18,,33,68,0.485,4,17,0.235,12,20,0.6,15,37,14,6,9,7,16,LSU
25,2024-02-17,@,South Carolina,W,64,63,25,58,0.431,5,13,0.385,9,14,0.643,12,37,6,6,6,10,10,,26,62,0.419,6,20,0.3,5,6,0.833,8,30,15,7,2,9,12,LSU
26,2024-02-21,,Kentucky,W,75,74,25,56,0.446,9,20,0.45,16,25,0.64,11,37,12,6,3,13,13,,27,62,0.435,8,20,0.4,12,12,1.0,8,29,9,10,5,12,19,LSU
27,2024-02-24,,Mississippi State,L,67,87,24,58,0.414,3,17,0.176,16,22,0.727,9,31,4,8,7,13,17,,30,65,0.462,10,21,0.476,17,22,0.773,12,31,14,8,6,12,16,LSU
28,2024-02-27,,Georgia,W,67,66,22,47,0.468,9,18,0.5,14,18,0.778,4,27,12,4,6,16,13,,22,59,0.373,7,27,0.259,15,19,0.789,8,28,9,10,3,11,13,LSU
29,2024-03-02,@,Vanderbilt,W,75,61,25,57,0.439,10,31,0.323,15,19,0.789,14,38,12,1,1,9,19,,20,55,0.364,3,21,0.143,18,25,0.72,8,24,7,4,2,6,19,LSU
30,2024-03-06,@,Arkansas,L,83,94,30,67,0.448,5,18,0.278,18,26,0.692,11,29,9,9,0,10,21,,31,51,0.608,5,16,0.313,27,33,0.818,4,34,18,8,10,15,19,LSU
31,2024-03-09,,Missouri,W,84,80,26,57,0.456,6,22,0.273,26,37,0.703,13,36,14,8,4,15,16,,29,61,0.475,9,29,0.31,13,16,0.813,7,25,8,9,2,15,28,LSU
32,2024-03-14,N,Mississippi State,L,60,70,19,50,0.38,7,20,0.35,15,21,0.714,6,33,9,9,4,16,19,,23,55,0.418,6,21,0.286,18,27,0.667,7,33,11,10,2,11,16,LSU
33,2024-03-19,,North Texas,L,77,84,27,60,0.45,11,23,0.478,12,12,1.0,9,31,15,9,4,12,14,,29,59,0.492,11,26,0.423,15,23,0.652,9,30,13,10,3,10,10,LSU
1,2023-11-06,,Alabama State,W,69,59,25,68,0.368,7,29,0.241,12,25,0.48,11,43,14,6,8,8,15,,17,62,0.274,9,25,0.36,16,21,0.762,7,38,9,6,3,11,20,Ole Miss
2,2023-11-10,,Eastern Washington,W,75,64,29,61,0.475,3,12,0.25,14,19,0.737,4,23,15,14,3,8,12,,25,58,0.431,4,22,0.182,10,13,0.769,8,35,15,5,1,17,19,Ole Miss
3,2023-11-14,,Detroit Mercy,W,70,69,28,62,0.452,9,18,0.5,5,6,0.833,10,27,22,9,4,8,16,,25,52,0.481,6,15,0.4,13,18,0.722,8,31,15,5,1,11,14,Ole Miss
4,2023-11-17,,Sam Houston,W,70,67,20,46,0.435,3,18,0.167,27,34,0.794,7,30,15,6,8,13,13,,24,58,0.414,10,26,0.385,9,14,0.643,10,28,17,11,1,12,23,Ole Miss
5,2023-11-22,@,Temple,W,77,76,30,59,0.508,10,18,0.556,7,9,0.778,10,29,18,7,5,12,14,,26,59,0.441,12,31,0.387,12,13,0.923,9,24,13,7,2,10,13,Ole Miss
6,2023-11-28,,NC State,W,72,52,24,59,0.407,7,20,0.35,17,20,0.85,8,36,11,7,9,7,14,,21,66,0.318,3,25,0.12,7,12,0.583,16,38,10,2,2,13,15,Ole Miss
7,2023-12-02,,Memphis,W,80,77,29,64,0.453,11,22,0.5,11,15,0.733,8,36,19,6,10,13,14,,31,73,0.425,3,18,0.167,12,15,0.8,11,34,12,9,5,9,17,Ole Miss
8,2023-12-05,,Mount St. Mary's,W,77,68,26,54,0.481,5,15,0.333,20,25,0.8,7,33,16,11,7,12,11,,29,70,0.414,5,25,0.2,5,8,0.625,11,32,12,9,5,12,16,Ole Miss
9,2023-12-10,@,UCF,W,70,68,20,45,0.444,6,15,0.4,24,34,0.706,6,28,11,8,6,15,23,,21,57,0.368,4,22,0.182,22,34,0.647,15,32,11,13,6,13,22,Ole Miss
10,2023-12-16,N,California,W,88,78,31,59,0.525,12,21,0.571,14,16,0.875,6,30,21,9,6,8,13,,30,72,0.417,10,30,0.333,8,10,0.8,13,35,15,3,1,11,16,Ole Miss
11,2023-12-19,,Troy,W,74,53,27,59,0.458,10,24,0.417,10,15,0.667,8,28,16,16,8,13,12,,17,47,0.362,8,22,0.364,11,14,0.786,7,29,11,8,5,21,14,Ole Miss
12,2023-12-23,N,Southern Miss,W,89,72,29,59,0.492,11,19,0.579,20,28,0.714,11,29,17,11,2,7,19,,21,44,0.477,7,15,0.467,23,27,0.852,5,27,7,5,1,16,20,Ole Miss
13,2023-12-31,,Bryant,W,95,78,35,65,0.538,6,17,0.353,19,28,0.679,8,42,16,7,5,9,13,,29,69,0.42,12,30,0.4,8,17,0.471,8,32,16,6,0,11,19,Ole Miss
14,2024-01-06,@,Tennessee,L,64,90,23,54,0.426,6,16,0.375,12,17,0.706,4,24,11,8,4,11,14,,34,72,0.472,11,30,0.367,11,13,0.846,16,38,25,7,3,10,16,Ole Miss
15,2024-01-10,,Florida,W,103,85,39,66,0.591,8,20,0.4,17,20,0.85,9,29,17,9,16,8,21,,31,75,0.413,5,17,0.294,18,26,0.692,23,40,15,4,2,12,17,Ole Miss
16,2024-01-13,,Vanderbilt,W,69,56,24,59,0.407,10,25,0.4,11,15,0.733,10,38,18,6,6,8,15,,20,53,0.377,4,18,0.222,12,20,0.6,6,26,10,6,5,7,14,Ole Miss
17,2024-01-17,@,LSU,L,80,89,24,65,0.369,6,24,0.25,26,29,0.897,8,32,7,8,5,10,19,,28,58,0.483,10,21,0.476,23,31,0.742,9,41,13,10,3,15,21,Ole Miss
