Game Date,Location,Neutral Game,Conference Game,Postseason Game,NCAA Tourney Game,Matchup,Home Team,Home Rk,Home Score,Away Team,Away Rk,Away Score,Home W,Home Pt Diff
2021-01-19,@ LSU,0,1,0,0,Alabama vs. LSU,LSU,51.0,75,Alabama,25.0,105,0,-30
2021-01-23,@ Alabama,0,1,0,0,Mississippi State vs. Alabama,Alabama,6.0,81,Mississippi State,102.0,73,1,8
2021-01-26,@ Alabama,0,1,0,0,Kentucky vs. Alabama,Alabama,6.0,70,Kentucky,57.0,59,1,11
2021-01-30,@ Oklahoma,0,0,0,0,Alabama vs. Oklahoma,Oklahoma,9.0,66,Alabama,10.0,61,1,5
2021-02-03,@ Alabama,0,1,0,0,LSU vs. Alabama,Alabama,5.0,78,LSU,10.0,60,1,18
2021-02-06,@ Missouri,0,1,0,0,Alabama vs. Missouri,Missouri,24.0,68,Alabama,8.0,65,1,3
2021-02-09,@ South Carolina,0,1,0,0,Alabama vs. South Carolina,South Carolina,124.0,78,Alabama,22.0,81,0,-3
2021-02-13,@ Alabama,0,1,0,0,Georgia vs. Alabama,Alabama,12.0,115,Georgia,220.0,82,1,33
2021-02-20,@ Alabama,0,1,0,0,Vanderbilt vs. Alabama,Alabama,19.0,82,Vanderbilt,150.0,78,1,4
2021-02-24,@ Arkansas,0,1,0,0,Alabama vs. Arkansas,Arkansas,22.0,81,Alabama,23.0,66,1,15
2021-02-27,@ Mississippi State,0,1,0,0,Alabama vs. Mississippi State,Mississippi State,47.0,59,Alabama,56.0,64,0,-5
2021-03-02,@ Alabama,0,1,0,0,Auburn vs. Alabama,Alabama,41.0,70,Auburn,21.0,58,1,12
2021-03-06,@ Georgia,0,1,0,0,Alabama vs. Georgia,Georgia,216.0,79,Alabama,23.0,89,0,-10
2021-03-12,Neutral,1,0,1,0,Alabama vs. Mississippi State,Mississippi State,29.0,48,Alabama,38.0,85,0,-37
2021-03-13,Neutral,1,0,1,0,Tennessee vs. Alabama,Alabama,28.0,73,Tennessee,37.0,68,1,5
2021-03-14,Neutral,1,0,1,0,Alabama vs. LSU,LSU,5.0,79,Alabama,30.0,80,0,-1
2021-03-20,Neutral,1,0,1,1,Iona vs. Alabama,Alabama,31.0,68,Iona,129.0,55,1,13
2021-03-22,Neutral,1,0,1,1,Maryland vs. Alabama,Alabama,30.0,96,Maryland,96.0,77,1,19
2021-03-28,Neutral,1,0,1,1,UCLA vs. Alabama,Alabama,27.0,78,UCLA,50.0,88,0,-10
2020-11-29,@ Samford,0,0,0,0,Alabama A&M vs. Samford,Samford,,76,Alabama A&M,,78,0,-2
2020-12-19,@ Alabama A&M,0,0,0,0,South Alabama vs. Alabama A&M,Alabama A&M,206.0,93,South Alabama,209.0,90,1,3
2021-01-16,@ Alabama A&M,0,1,0,0,Alabama State vs. Alabama A&M,Alabama A&M,110.0,70,Alabama State,343.0,63,1,7
2021-01-23,@ Alabama A&M,0,1,0,0,Southern vs. Alabama A&M,Alabama A&M,173.0,68,Southern,296.0,58,1,10
2021-01-30,@ Prairie View A&M,0,1,0,0,Alabama A&M vs. Prairie View A&M,Prairie View A&M,271.0,79,Alabama A&M,191.0,57,1,22
2021-02-01,@ Texas Southern,0,1,0,0,Alabama A&M vs. Texas Southern,Texas Southern,321.0,66,Alabama A&M,142.0,49,1,17
2021-02-06,@ Alabama A&M,0,1,0,0,Mississippi Valley State vs. Alabama A&M,Alabama A&M,170.0,93,Mississippi Valley State,344.0,58,1,35
2021-02-08,@ Alabama A&M,0,1,0,0,Arkansas-Pine Bluff vs. Alabama A&M,Alabama A&M,243.0,56,Arkansas-Pine Bluff,342.0,55,1,1
2021-02-13,@ Alabama State,0,1,0,0,Alabama A&M vs. Alabama State,Alabama State,345.0,72,Alabama A&M,314.0,58,1,14
2021-02-22,@ Alcorn State,0,1,0,0,Alabama A&M vs. Alcorn State,Alcorn State,337.0,65,Alabama A&M,299.0,52,1,13
2021-02-24,@ Southern,0,1,0,0,Alabama A&M vs. Southern,Southern,322.0,73,Alabama A&M,292.0,57,1,16
