G,Date,Location,Opp,Game Type,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp eFG%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
22,2021-03-04,N,Rhode Island,CTOURN,W,84,72,29,57,0.509,12,23,0.522,17,34,0.5,0.614,14,19,0.737,8,24,32,19,4,0,9,17,28,55,0.509,9,25,0.36,19,30,0.633,0.591,7,16,0.438,9,20,29,13,1,4,11,15,Dayton
23,2021-03-05,@,VCU,CTOURN,L,68,73,22,54,0.407,10,26,0.385,12,28,0.429,0.5,14,21,0.667,7,24,31,9,7,2,18,18,27,51,0.529,5,14,0.357,22,37,0.595,0.578,14,20,0.7,3,21,24,10,12,6,14,22,Dayton
24,2021-03-20,N,Memphis,NIT,L,60,71,25,50,0.5,7,21,0.333,18,29,0.621,0.57,3,8,0.375,1,21,22,9,5,2,11,13,28,64,0.438,10,26,0.385,18,38,0.474,0.516,5,12,0.417,16,24,40,18,7,2,10,11,Dayton
1,2020-12-05,,,REG (Non-Conf),W,79,76,28,56,0.5,16,31,0.516,12,25,0.48,0.643,7,11,0.636,4,31,35,23,4,5,17,9,27,72,0.375,15,41,0.366,12,31,0.387,0.479,7,9,0.778,10,23,33,15,13,1,10,11,Delaware
2,2020-12-08,@,UMBC,REG (Non-Conf),L,61,76,20,54,0.37,6,23,0.261,14,31,0.452,0.426,15,18,0.833,5,20,25,8,3,3,8,21,26,49,0.531,7,15,0.467,19,34,0.559,0.602,17,25,0.68,6,26,32,12,2,2,13,17,Delaware
3,2020-12-11,,George Washington,REG (Non-Conf),W,68,65,24,59,0.407,10,28,0.357,14,31,0.452,0.492,10,12,0.833,12,20,32,14,4,2,15,13,23,52,0.442,9,18,0.5,14,34,0.412,0.529,10,11,0.909,8,24,32,11,5,3,19,17,Delaware
4,2020-12-19,@,La Salle,REG (Non-Conf),L,61,71,20,51,0.392,9,23,0.391,11,28,0.393,0.48,12,20,0.6,5,25,30,14,6,3,17,18,26,57,0.456,6,21,0.286,20,36,0.556,0.509,13,18,0.722,4,26,30,15,8,3,14,17,Delaware
5,2020-12-21,,Morgan State,REG (Non-Conf),L,59,65,16,51,0.314,7,29,0.241,9,22,0.409,0.382,20,30,0.667,8,22,30,12,7,2,10,19,21,52,0.404,7,16,0.438,14,36,0.389,0.471,16,23,0.696,10,27,37,9,5,4,16,23,Delaware
6,2021-01-02,,College of Charleston,REG (Conf),W,70,67,24,51,0.471,6,20,0.3,18,31,0.581,0.529,16,20,0.8,7,23,30,11,4,2,12,21,19,45,0.422,8,19,0.421,11,26,0.423,0.511,21,26,0.808,4,23,27,8,3,1,11,21,Delaware
7,2021-01-03,,College of Charleston,REG (Conf),L,59,66,17,41,0.415,7,22,0.318,10,19,0.526,0.5,18,27,0.667,5,27,32,9,2,1,12,19,24,53,0.453,9,17,0.529,15,36,0.417,0.538,9,18,0.5,6,21,27,12,3,3,6,21,Delaware
8,2021-01-09,@,William & Mary,REG (Conf),L,62,67,26,61,0.426,4,18,0.222,22,43,0.512,0.459,6,11,0.545,10,20,30,10,6,7,10,21,24,61,0.393,5,17,0.294,19,44,0.432,0.434,14,20,0.7,14,27,41,11,6,4,14,16,Delaware
9,2021-01-15,,Hofstra,REG (Conf),W,74,56,31,65,0.477,4,17,0.235,27,48,0.563,0.508,8,8,1.0,11,27,38,17,7,3,13,16,20,53,0.377,3,16,0.188,17,37,0.459,0.406,13,16,0.813,6,21,27,5,5,3,15,15,Delaware
10,2021-01-17,,Hofstra,REG (Conf),L,67,68,26,50,0.52,3,12,0.25,23,38,0.605,0.55,12,16,0.75,11,23,34,14,7,6,20,15,28,69,0.406,3,17,0.176,25,52,0.481,0.428,9,10,0.9,15,13,28,9,11,6,9,14,Delaware
11,2021-01-23,@,UNC Wilmington,REG (Conf),L,70,77,26,56,0.464,4,17,0.235,22,39,0.564,0.5,14,16,0.875,10,27,37,11,2,3,17,20,30,60,0.5,6,18,0.333,24,42,0.571,0.55,11,18,0.611,5,22,27,10,6,4,5,15,Delaware
12,2021-01-24,@,UNC Wilmington,REG (Conf),W,67,62,21,40,0.525,4,13,0.308,17,27,0.63,0.575,21,31,0.677,7,24,31,6,4,3,17,20,20,58,0.345,3,20,0.15,17,38,0.447,0.371,19,22,0.864,9,17,26,10,9,0,8,22,Delaware
13,2021-01-30,,Elon,REG (Conf),W,66,43,25,50,0.5,9,21,0.429,16,29,0.552,0.59,7,13,0.538,9,33,42,16,6,5,18,12,18,59,0.305,3,18,0.167,15,41,0.366,0.331,4,7,0.571,5,17,22,7,10,0,11,14,Delaware
14,2021-01-31,,Elon,REG (Conf),W,75,70,22,48,0.458,9,23,0.391,13,25,0.52,0.552,22,33,0.667,6,22,28,11,4,7,12,14,26,56,0.464,9,23,0.391,17,33,0.515,0.545,9,11,0.818,4,17,21,13,5,1,11,25,Delaware
15,2021-03-07,N,Hofstra,CTOURN,L,75,83,21,60,0.35,9,24,0.375,12,36,0.333,0.425,24,31,0.774,8,24,32,12,3,2,8,24,29,60,0.483,8,18,0.444,21,42,0.5,0.55,17,29,0.586,12,30,42,13,6,4,8,21,Delaware
1,2020-11-25,@,Wake Forest,REG (Non-Conf),L,51,111,14,53,0.264,7,25,0.28,7,28,0.25,0.33,16,24,0.667,7,15,22,11,6,6,25,23,36,66,0.545,14,31,0.452,22,35,0.629,0.652,25,32,0.781,13,32,45,21,20,3,15,21,Delaware State
2,2020-12-17,@,Coastal Carolina,REG (Non-Conf),L,73,99,23,63,0.365,11,31,0.355,12,32,0.375,0.452,16,18,0.889,7,14,21,14,8,0,15,21,35,65,0.538,6,16,0.375,29,49,0.592,0.585,23,28,0.821,18,31,49,19,11,3,15,17,Delaware State
3,2020-12-20,@,Georgia Tech,REG (Non-Conf),L,69,97,23,53,0.434,8,26,0.308,15,27,0.556,0.509,15,21,0.714,5,24,29,12,4,1,19,22,33,60,0.55,9,23,0.391,24,37,0.649,0.625,22,28,0.786,5,28,33,25,9,2,9,19,Delaware State
4,2020-12-23,@,UNC Wilmington,REG (Non-Conf),L,63,87,23,63,0.365,4,16,0.25,19,47,0.404,0.397,13,16,0.813,8,22,30,9,5,2,14,25,27,56,0.482,6,17,0.353,21,39,0.538,0.536,27,36,0.75,10,29,39,9,5,8,14,19,Delaware State
5,2020-12-30,,Manhattan,REG (Non-Conf),L,59,65,25,66,0.379,3,19,0.158,22,47,0.468,0.402,6,12,0.5,7,23,30,11,4,7,11,25,21,61,0.344,5,23,0.217,16,38,0.421,0.385,18,28,0.643,13,29,42,9,4,5,11,17,Delaware State
6,2021-01-04,@,Coppin State,REG (Conf),L,78,86,30,70,0.429,10,28,0.357,20,42,0.476,0.5,8,11,0.727,10,33,43,13,7,1,19,30,24,57,0.421,9,29,0.31,15,28,0.536,0.5,29,42,0.69,7,26,33,11,11,4,15,15,Delaware State
7,2021-01-05,@,Coppin State,REG (Conf),L,77,81,28,75,0.373,13,35,0.371,15,40,0.375,0.46,8,14,0.571,11,33,44,15,10,6,20,22,28,61,0.459,8,30,0.267,20,31,0.645,0.525,17,30,0.567,5,35,40,18,12,6,19,20,Delaware State
8,2021-01-16,,Norfolk State,REG (Conf),L,76,87,25,55,0.455,12,29,0.414,13,26,0.5,0.564,14,18,0.778,5,16,21,16,4,1,12,18,30,53,0.566,13,23,0.565,17,30,0.567,0.689,14,23,0.609,8,23,31,20,8,3,15,18,Delaware State
9,2021-01-17,,Norfolk State,REG (Conf),L,79,83,22,62,0.355,12,34,0.353,10,28,0.357,0.452,23,34,0.676,9,26,35,12,3,7,13,30,26,70,0.371,5,21,0.238,21,49,0.429,0.407,26,38,0.684,13,29,42,12,4,3,9,26,Delaware State
10,2021-01-24,@,Morgan State,REG (Conf),L,83,99,28,62,0.452,9,27,0.333,19,35,0.543,0.524,18,25,0.72,9,19,28,9,9,3,21,17,36,66,0.545,7,26,0.269,29,40,0.725,0.598,20,22,0.909,8,20,28,25,10,6,16,17,Delaware State
11,2021-01-30,@,Norfolk State,REG (Conf),L,66,94,25,53,0.472,8,22,0.364,17,31,0.548,0.547,8,12,0.667,6,17,23,13,5,2,14,18,31,58,0.534,15,32,0.469,16,26,0.615,0.664,17,19,0.895,6,21,27,23,3,2,11,14,Delaware State
12,2021-02-03,,,REG (Non-Conf),W,81,80,31,68,0.456,7,19,0.368,24,49,0.49,0.507,12,20,0.6,12,21,33,10,8,5,14,15,29,64,0.453,10,25,0.4,19,39,0.487,0.531,12,17,0.706,12,27,39,15,6,3,20,20,Delaware State
13,2021-02-06,@,Morgan State,REG (Conf),L,69,74,25,61,0.41,10,25,0.4,15,36,0.417,0.492,9,12,0.75,6,19,25,12,7,9,14,18,26,63,0.413,3,16,0.188,23,47,0.489,0.437,19,23,0.826,13,25,38,14,5,5,16,14,Delaware State
14,2021-02-21,,,REG (Non-Conf),W,75,58,26,65,0.4,7,29,0.241,19,36,0.528,0.454,16,24,0.667,15,32,47,12,7,6,12,14,22,67,0.328,7,21,0.333,15,46,0.326,0.381,7,13,0.538,10,26,36,5,7,1,13,20,Delaware State
15,2021-02-24,@,Norfolk State,REG (Conf),L,55,86,19,48,0.396,6,21,0.286,13,27,0.481,0.458,11,19,0.579,8,17,25,10,5,6,27,19,32,64,0.5,9,23,0.391,23,41,0.561,0.57,13,18,0.722,8,23,31,14,11,3,16,20,Delaware State
16,2021-02-27,,Coppin State,REG (Conf),L,68,81,25,76,0.329,5,32,0.156,20,44,0.455,0.362,13,19,0.684,10,31,41,11,5,1,15,24,27,63,0.429,7,25,0.28,20,38,0.526,0.484,20,33,0.606,10,37,47,17,7,9,16,15,Delaware State
17,2021-02-28,,Coppin State,REG (Conf),L,74,94,26,68,0.382,7,29,0.241,19,39,0.487,0.434,15,19,0.789,12,24,36,8,10,1,14,16,35,63,0.556,10,28,0.357,25,35,0.714,0.635,14,20,0.7,7,28,35,16,10,0,14,17,Delaware State
18,2021-03-05,,Morgan State,REG (Conf),L,67,92,22,61,0.361,5,23,0.217,17,38,0.447,0.402,18,20,0.9,7,22,29,6,8,1,20,24,31,64,0.484,9,23,0.391,22,41,0.537,0.555,21,32,0.656,12,28,40,16,11,5,19,21,Delaware State
19,2021-03-06,,Morgan State,REG (Conf),W,82,75,28,61,0.459,8,22,0.364,20,39,0.513,0.525,18,19,0.947,9,24,33,12,8,4,17,23,25,62,0.403,9,20,0.45,16,42,0.381,0.476,16,27,0.593,11,17,28,11,7,6,12,19,Delaware State
1,2020-11-28,,,REG (Non-Conf),W,82,66,31,58,0.534,7,18,0.389,24,40,0.6,0.595,13,18,0.722,6,32,38,18,3,5,8,12,27,71,0.38,9,36,0.25,18,35,0.514,0.444,3,5,0.6,13,23,36,11,3,2,11,18,Denver
2,2020-12-06,,UC Riverside,REG (Non-Conf),L,63,83,24,57,0.421,4,14,0.286,20,43,0.465,0.456,11,16,0.688,2,21,23,10,3,2,8,15,30,58,0.517,15,32,0.469,15,26,0.577,0.647,8,13,0.615,7,28,35,17,5,4,9,20,Denver
3,2020-12-09,@,Wyoming,REG (Non-Conf),L,61,83,19,48,0.396,4,12,0.333,15,36,0.417,0.438,19,25,0.76,11,24,35,11,7,1,27,19,33,67,0.493,10,30,0.333,23,37,0.622,0.567,7,11,0.636,11,19,30,15,9,3,12,23,Denver
4,2020-12-12,,Dixie State,REG (Non-Conf),L,70,73,23,49,0.469,4,15,0.267,19,34,0.559,0.51,20,22,0.909,4,33,37,9,5,3,21,21,25,59,0.424,10,27,0.37,15,32,0.469,0.508,13,21,0.619,4,20,24,13,12,2,13,20,Denver
5,2020-12-16,,Northern Colorado,REG (Non-Conf),L,75,83,28,61,0.459,3,12,0.25,25,49,0.51,0.484,16,21,0.762,3,22,25,8,11,3,12,28,23,49,0.469,10,20,0.5,13,29,0.448,0.571,27,37,0.73,9,29,38,8,4,7,19,20,Denver
6,2020-12-19,,Texas State,REG (Non-Conf),L,68,70,23,46,0.5,6,16,0.375,17,30,0.567,0.565,16,20,0.8,4,16,20,13,6,0,23,19,25,49,0.51,7,12,0.583,18,37,0.486,0.582,13,18,0.722,6,13,19,11,10,4,18,22,Denver
7,2020-12-22,,Northern Arizona,REG (Non-Conf),L,65,68,24,46,0.522,6,18,0.333,18,28,0.643,0.587,11,17,0.647,2,23,25,12,5,7,11,20,23,57,0.404,3,15,0.2,20,42,0.476,0.43,19,23,0.826,10,22,32,8,4,1,8,17,Denver
8,2021-01-02,@,South Dakota,REG (Conf),L,54,93,19,53,0.358,8,26,0.308,11,27,0.407,0.434,8,10,0.8,7,20,27,7,4,1,19,18,33,63,0.524,14,26,0.538,19,37,0.514,0.635,13,15,0.867,6,27,33,22,4,1,8,19,Denver
9,2021-01-03,@,South Dakota,REG (Conf),L,57,79,16,54,0.296,6,21,0.286,10,33,0.303,0.352,19,23,0.826,3,21,24,11,6,2,11,19,28,54,0.519,8,23,0.348,20,31,0.645,0.593,15,19,0.789,7,35,42,13,5,2,14,19,Denver
10,2021-01-15,,Oral Roberts,REG (Conf),L,84,88,29,66,0.439,9,22,0.409,20,44,0.455,0.508,17,23,0.739,9,22,31,9,4,5,9,17,31,62,0.5,9,18,0.5,22,44,0.5,0.573,17,19,0.895,6,27,33,10,2,3,9,20,Denver
11,2021-01-16,,Oral Roberts,REG (Conf),L,82,91,28,62,0.452,8,22,0.364,20,40,0.5,0.516,18,21,0.857,12,15,27,9,6,5,15,21,27,51,0.529,8,18,0.444,19,33,0.576,0.608,29,34,0.853,8,18,26,10,11,4,12,19,Denver
12,2021-01-22,@,North Dakota State,REG (Conf),L,58,70,23,52,0.442,7,19,0.368,16,33,0.485,0.51,5,8,0.625,4,20,24,11,2,1,8,21,21,52,0.404,5,16,0.313,16,36,0.444,0.452,23,26,0.885,11,23,34,6,4,2,9,10,Denver
13,2021-01-23,@,North Dakota State,REG (Conf),L,58,84,23,56,0.411,6,21,0.286,17,35,0.486,0.464,6,10,0.6,6,15,21,7,2,0,14,15,31,50,0.62,9,18,0.5,22,32,0.688,0.71,13,16,0.813,4,26,30,14,9,5,13,15,Denver
14,2021-02-05,,North Dakota,REG (Conf),L,82,85,27,61,0.443,9,20,0.45,18,41,0.439,0.516,19,26,0.731,7,25,32,12,8,3,16,27,29,58,0.5,9,20,0.45,20,38,0.526,0.578,18,27,0.667,7,29,36,12,10,2,16,23,Denver
15,2021-02-06,,North Dakota,REG (Conf),W,85,81,28,57,0.491,9,21,0.429,19,36,0.528,0.57,20,24,0.833,6,25,31,18,8,3,16,20,27,60,0.45,9,26,0.346,18,34,0.529,0.525,18,23,0.783,6,20,26,11,8,5,16,23,Denver
16,2021-02-12,@,Western Illinois,REG (Conf),L,69,75,27,66,0.409,7,22,0.318,20,44,0.455,0.462,8,14,0.571,4,19,23,16,11,1,13,29,22,48,0.458,5,20,0.25,17,28,0.607,0.51,26,36,0.722,9,38,47,7,6,6,26,17,Denver
17,2021-02-13,@,Western Illinois,REG (Conf),L,75,82,26,61,0.426,10,24,0.417,16,37,0.432,0.508,13,15,0.867,7,23,30,16,7,1,13,26,24,52,0.462,8,24,0.333,16,28,0.571,0.538,26,35,0.743,8,28,36,7,7,3,16,18,Denver
18,2021-02-19,@,Kansas City,REG (Conf),L,57,68,21,41,0.512,8,20,0.4,13,21,0.619,0.61,7,18,0.389,3,20,23,15,3,2,22,20,23,44,0.523,2,12,0.167,21,32,0.656,0.545,20,25,0.8,2,21,23,10,9,2,16,24,Denver
19,2021-02-20,@,Kansas City,REG (Conf),L,69,80,25,49,0.51,3,15,0.2,22,34,0.647,0.541,16,27,0.593,8,18,26,13,3,2,11,19,26,54,0.481,9,18,0.5,17,36,0.472,0.565,19,25,0.76,10,23,33,14,5,3,9,25,Denver
20,2021-02-26,,Omaha,REG (Conf),L,76,80,30,71,0.423,10,22,0.455,20,49,0.408,0.493,6,13,0.462,9,20,29,13,8,0,9,18,29,58,0.5,8,19,0.421,21,39,0.538,0.569,14,17,0.824,6,32,38,10,3,6,15,21,Denver
21,2021-02-27,,Omaha,REG (Conf),L,76,80,25,57,0.439,7,22,0.318,18,35,0.514,0.5,19,27,0.704,8,24,32,12,8,7,16,27,23,58,0.397,6,23,0.261,17,35,0.486,0.448,28,34,0.824,8,27,35,8,6,3,12,25,Denver
1,2020-12-23,,Western Illinois,REG (Non-Conf),W,91,72,36,61,0.59,10,20,0.5,26,41,0.634,0.672,9,13,0.692,8,30,38,22,10,9,20,16,27,71,0.38,9,31,0.29,18,40,0.45,0.444,9,13,0.692,12,17,29,13,5,0,16,12,DePaul
2,2020-12-27,@,Providence,REG (Conf),L,90,95,37,76,0.487,10,24,0.417,27,52,0.519,0.553,6,8,0.75,7,31,38,18,6,3,16,22,33,78,0.423,6,23,0.261,27,55,0.491,0.462,23,31,0.742,12,31,43,17,11,2,11,15,DePaul
3,2020-12-30,@,Connecticut,REG (Conf),L,61,82,24,63,0.381,4,17,0.235,20,46,0.435,0.413,9,14,0.643,14,16,30,11,4,5,15,19,30,61,0.492,7,17,0.412,23,44,0.523,0.549,15,21,0.714,14,27,41,14,5,3,14,17,DePaul
4,2021-01-09,,Seton Hall,REG (Conf),L,68,76,25,60,0.417,4,13,0.308,21,47,0.447,0.45,14,20,0.7,14,13,27,14,9,2,15,23,26,50,0.52,4,17,0.235,22,33,0.667,0.56,20,23,0.87,11,24,35,16,7,1,20,22,DePaul
5,2021-01-11,,Connecticut,REG (Conf),L,53,60,22,50,0.44,5,15,0.333,17,35,0.486,0.49,4,8,0.5,10,25,35,11,3,2,24,19,21,52,0.404,5,18,0.278,16,34,0.471,0.452,13,24,0.542,10,16,26,10,16,6,14,13,DePaul
6,2021-01-16,,Valparaiso,REG (Non-Conf),W,77,58,27,62,0.435,9,22,0.409,18,40,0.45,0.508,14,19,0.737,9,28,37,15,9,3,14,19,18,53,0.34,3,15,0.2,15,38,0.395,0.368,19,23,0.826,6,24,30,10,7,4,16,16,DePaul
7,2021-01-19,,Butler,REG (Conf),L,53,67,19,57,0.333,4,24,0.167,15,33,0.455,0.368,11,19,0.579,9,20,29,10,9,3,12,13,27,54,0.5,10,27,0.37,17,27,0.63,0.593,3,7,0.429,7,29,36,16,4,0,14,19,DePaul
8,2021-01-23,@,Marquette,REG (Conf),W,68,61,23,56,0.411,5,19,0.263,18,37,0.486,0.455,17,24,0.708,7,27,34,10,9,5,11,12,22,62,0.355,10,33,0.303,12,29,0.414,0.435,7,9,0.778,5,26,31,12,4,4,14,19,DePaul
9,2021-01-27,,St. John's (NY),REG (Conf),L,68,81,27,70,0.386,4,17,0.235,23,53,0.434,0.414,10,18,0.556,19,26,45,9,6,3,18,18,30,65,0.462,7,26,0.269,23,39,0.59,0.515,14,21,0.667,10,25,35,20,7,4,12,21,DePaul
10,2021-01-30,,Creighton,REG (Conf),L,62,69,24,65,0.369,6,24,0.25,18,41,0.439,0.415,8,10,0.8,14,22,36,10,9,5,11,19,23,56,0.411,6,22,0.273,17,34,0.5,0.464,17,20,0.85,9,25,34,15,7,3,12,11,DePaul
11,2021-02-06,@,Butler,REG (Conf),L,58,68,22,56,0.393,5,14,0.357,17,42,0.405,0.438,9,16,0.563,9,17,26,12,7,3,12,28,18,41,0.439,8,20,0.4,10,21,0.476,0.537,24,36,0.667,6,18,24,12,5,5,12,19,DePaul
12,2021-02-13,,Providence,REG (Conf),L,47,57,19,62,0.306,3,9,0.333,16,53,0.302,0.331,6,10,0.6,11,29,40,7,4,4,13,16,21,60,0.35,7,24,0.292,14,36,0.389,0.408,8,12,0.667,13,28,41,10,6,9,14,13,DePaul
13,2021-02-17,@,Seton Hall,REG (Conf),L,52,60,23,61,0.377,3,11,0.273,20,50,0.4,0.402,3,4,0.75,14,23,37,6,9,5,19,19,22,59,0.373,8,26,0.308,14,33,0.424,0.441,8,15,0.533,14,19,33,13,9,5,12,13,DePaul
14,2021-02-20,@,St. John's (NY),REG (Conf),W,88,83,34,54,0.63,4,8,0.5,30,46,0.652,0.667,16,22,0.727,8,28,36,14,6,8,22,24,24,71,0.338,12,33,0.364,12,38,0.316,0.423,23,25,0.92,16,13,29,16,11,3,14,20,DePaul
15,2021-02-24,@,Creighton,REG (Conf),L,53,77,22,62,0.355,7,24,0.292,15,38,0.395,0.411,2,3,0.667,9,21,30,9,8,2,15,20,27,55,0.491,11,31,0.355,16,24,0.667,0.591,12,20,0.6,8,26,34,15,10,4,12,11,DePaul
16,2021-02-27,,Georgetown,REG (Conf),L,60,68,22,57,0.386,7,18,0.389,15,39,0.385,0.447,9,10,0.9,6,18,24,12,6,2,13,17,21,51,0.412,7,17,0.412,14,34,0.412,0.48,19,21,0.905,11,24,35,12,6,9,18,15,DePaul
17,2021-03-02,,Marquette,REG (Conf),L,71,77,29,71,0.408,5,21,0.238,24,50,0.48,0.444,8,11,0.727,11,23,34,12,5,5,11,23,26,55,0.473,6,23,0.261,20,32,0.625,0.527,19,25,0.76,3,29,32,11,5,4,14,14,DePaul
18,2021-03-10,N,Providence,CTOURN,W,70,62,25,54,0.463,4,16,0.25,21,38,0.553,0.5,16,26,0.615,11,29,40,7,8,3,15,24,20,57,0.351,7,26,0.269,13,31,0.419,0.412,15,29,0.517,12,22,34,10,6,1,16,19,DePaul
19,2021-03-11,N,Connecticut,CTOURN,L,60,94,21,57,0.368,4,11,0.364,17,46,0.37,0.404,14,18,0.778,9,18,27,8,3,2,15,23,34,76,0.447,8,28,0.286,26,48,0.542,0.5,18,23,0.783,18,24,42,20,8,8,7,17,DePaul
1,2020-12-04,@,Michigan State,REG (Non-Conf),L,76,83,30,73,0.411,5,23,0.217,25,50,0.5,0.445,11,11,1.0,12,21,33,14,9,2,12,20,29,60,0.483,6,18,0.333,23,42,0.548,0.533,19,23,0.826,10,26,36,16,5,7,17,16,Detroit Mercy
2,2020-12-06,@,Notre Dame,REG (Non-Conf),L,70,78,27,71,0.38,8,28,0.286,19,43,0.442,0.437,8,10,0.8,9,28,37,13,5,2,7,14,30,65,0.462,11,23,0.478,19,42,0.452,0.546,7,9,0.778,8,33,41,19,3,5,8,12,Detroit Mercy
3,2020-12-08,,Kent State,REG (Non-Conf),L,66,80,20,61,0.328,8,22,0.364,12,39,0.308,0.393,18,20,0.9,6,21,27,11,6,1,12,14,29,60,0.483,12,26,0.462,17,34,0.5,0.583,10,13,0.769,8,32,40,16,4,5,17,20,Detroit Mercy
4,2020-12-12,@,Western Michigan,REG (Non-Conf),W,67,57,22,56,0.393,7,24,0.292,15,32,0.469,0.455,16,19,0.842,7,23,30,8,7,2,6,12,23,64,0.359,5,27,0.185,18,37,0.486,0.398,6,9,0.667,15,23,38,8,3,3,12,19,Detroit Mercy
5,2020-12-19,,Wright State,REG (Conf),L,70,93,28,69,0.406,8,28,0.286,20,41,0.488,0.464,6,10,0.6,7,21,28,17,5,5,10,12,38,65,0.585,10,20,0.5,28,45,0.622,0.662,7,10,0.7,5,34,39,18,5,2,12,12,Detroit Mercy
6,2020-12-20,,Wright State,REG (Conf),L,72,85,25,65,0.385,7,24,0.292,18,41,0.439,0.438,15,18,0.833,7,19,26,14,9,6,13,24,29,50,0.58,4,10,0.4,25,40,0.625,0.62,23,33,0.697,5,30,35,18,6,6,13,18,Detroit Mercy
7,2020-12-26,,Oakland,REG (Conf),L,75,77,25,61,0.41,10,27,0.37,15,34,0.441,0.492,15,19,0.789,7,25,32,14,6,4,19,20,29,73,0.397,6,29,0.207,23,44,0.523,0.438,13,22,0.591,17,27,44,17,9,1,14,16,Detroit Mercy
8,2020-12-27,,Oakland,REG (Conf),L,80,83,32,59,0.542,9,24,0.375,23,35,0.657,0.619,7,13,0.538,10,22,32,18,8,2,12,14,30,59,0.508,14,31,0.452,16,28,0.571,0.627,9,10,0.9,6,19,25,17,7,4,12,15,Detroit Mercy
9,2021-01-15,,Green Bay,REG (Conf),W,86,61,31,47,0.66,17,26,0.654,14,21,0.667,0.84,7,11,0.636,4,25,29,15,11,2,19,8,23,56,0.411,14,32,0.438,9,24,0.375,0.536,1,2,0.5,5,13,18,17,9,2,16,14,Detroit Mercy
10,2021-01-16,,Green Bay,REG (Conf),W,68,65,23,49,0.469,10,22,0.455,13,27,0.481,0.571,12,17,0.706,11,21,32,11,2,1,12,9,26,63,0.413,9,27,0.333,17,36,0.472,0.484,4,8,0.5,8,18,26,20,5,2,8,21,Detroit Mercy
11,2021-01-22,@,Oakland,REG (Conf),L,81,86,27,65,0.415,12,32,0.375,15,33,0.455,0.508,15,16,0.938,11,20,31,20,7,3,9,23,28,54,0.519,15,28,0.536,13,26,0.5,0.657,15,23,0.652,6,26,32,24,4,3,14,14,Detroit Mercy
12,2021-01-23,@,Oakland,REG (Conf),W,82,72,30,57,0.526,13,31,0.419,17,26,0.654,0.64,9,11,0.818,6,24,30,21,5,3,14,16,27,57,0.474,10,25,0.4,17,32,0.531,0.561,8,10,0.8,5,23,28,19,10,0,12,10,Detroit Mercy
13,2021-01-29,@,Youngstown State,REG (Conf),W,78,75,32,58,0.552,10,24,0.417,22,34,0.647,0.638,4,5,0.8,7,17,24,16,8,1,8,12,26,59,0.441,13,33,0.394,13,26,0.5,0.551,10,16,0.625,13,16,29,20,3,1,9,12,Detroit Mercy
14,2021-01-30,@,Youngstown State,REG (Conf),W,77,72,29,56,0.518,7,20,0.35,22,36,0.611,0.58,12,16,0.75,5,27,32,11,4,2,7,16,25,67,0.373,7,30,0.233,18,37,0.486,0.425,15,15,1.0,11,22,33,17,3,1,9,19,Detroit Mercy
15,2021-02-05,,Purdue Fort Wayne,REG (Conf),W,82,72,28,51,0.549,16,29,0.552,12,22,0.545,0.706,10,14,0.714,4,18,22,15,7,1,9,6,28,53,0.528,12,30,0.4,16,23,0.696,0.642,4,9,0.444,7,21,28,17,7,3,14,15,Detroit Mercy
16,2021-02-06,,Purdue Fort Wayne,REG (Conf),W,83,56,25,56,0.446,12,31,0.387,13,25,0.52,0.554,21,23,0.913,10,21,31,15,12,2,10,11,22,50,0.44,9,24,0.375,13,26,0.5,0.53,3,4,0.75,4,18,22,15,4,3,18,19,Detroit Mercy
17,2021-02-12,@,Cleveland State,REG (Conf),W,89,83,27,57,0.474,13,26,0.5,14,31,0.452,0.588,22,27,0.815,7,25,32,14,7,3,12,19,31,61,0.508,6,22,0.273,25,39,0.641,0.557,15,22,0.682,7,24,31,17,6,2,11,22,Detroit Mercy
18,2021-02-13,@,Cleveland State,REG (Conf),L,64,71,23,60,0.383,7,27,0.259,16,33,0.485,0.442,11,14,0.786,11,18,29,8,6,2,9,15,26,52,0.5,8,21,0.381,18,31,0.581,0.577,11,16,0.688,5,26,31,14,2,6,13,16,Detroit Mercy
19,2021-02-19,,Robert Morris,REG (Conf),W,85,74,30,59,0.508,8,24,0.333,22,35,0.629,0.576,17,22,0.773,9,29,38,16,9,1,11,13,29,71,0.408,9,29,0.31,20,42,0.476,0.472,7,9,0.778,13,21,34,23,7,0,12,23,Detroit Mercy
20,2021-02-20,,Robert Morris,REG (Conf),W,80,61,29,57,0.509,12,28,0.429,17,29,0.586,0.614,10,11,0.909,9,22,31,16,7,3,7,11,24,53,0.453,8,23,0.348,16,30,0.533,0.528,5,10,0.5,9,18,27,13,5,1,11,13,Detroit Mercy
21,2021-02-25,,Robert Morris,CTOURN,W,83,73,30,54,0.556,13,24,0.542,17,30,0.567,0.676,10,12,0.833,10,22,32,16,5,5,12,14,28,57,0.491,8,18,0.444,20,39,0.513,0.561,9,13,0.692,6,13,19,16,6,2,8,16,Detroit Mercy
