Game Date,Location,Matchup,Home Team,Home Score,Away Team,Away Score,Home W,Home Pt Diff
2025-02-25,@ Western Michigan,Ohio vs. Western Michigan,Western Michigan,82,Ohio,73,1,9
2025-03-07,@ Toledo,Ohio vs. Toledo,Toledo,96,Ohio,82,1,14
2025-03-13,Neutral,Ohio vs. Toledo,Toledo,90,Ohio,85,1,5
2024-11-04,Neutral,Texas vs. Ohio State,Ohio State,80,Texas,72,1,8
2024-11-11,@ Ohio State,Youngstown State vs. Ohio State,Ohio State,81,Youngstown State,47,1,34
2024-11-15,@ Texas A&M,Ohio State vs. Texas A&M,Texas A&M,78,Ohio State,64,1,14
2024-11-29,@ Ohio State,Pittsburgh vs. Ohio State,Ohio State,90,Pittsburgh,91,0,-1
2024-12-07,@ Ohio State,Rutgers vs. Ohio State,Ohio State,80,Rutgers,66,1,14
2024-12-17,@ Ohio State,Valparaiso vs. Ohio State,Ohio State,95,Valparaiso,73,1,22
2025-01-09,@ Ohio State,Oregon vs. Ohio State,Ohio State,71,Oregon,73,0,-2
2025-01-14,@ Wisconsin,Ohio State vs. Wisconsin,Wisconsin,70,Ohio State,68,1,2
2025-01-21,@ Purdue,Ohio State vs. Purdue,Purdue,70,Ohio State,73,0,-3
2025-01-30,@ Penn State,Ohio State vs. Penn State,Penn State,64,Ohio State,83,0,-19
2025-02-12,@ Ohio State,Washington vs. Ohio State,Ohio State,93,Washington,69,1,24
2025-02-23,@ UCLA,Ohio State vs. UCLA,UCLA,69,Ohio State,61,1,8
2025-02-26,@ Southern California,Ohio State vs. Southern California,Southern California,82,Ohio State,87,0,-5
2024-11-16,@ Oklahoma,Stetson vs. Oklahoma,Oklahoma,85,Stetson,64,1,21
2024-11-27,Neutral,Providence vs. Oklahoma,Oklahoma,79,Providence,77,1,2
2024-12-14,Neutral,Oklahoma State vs. Oklahoma,Oklahoma,80,Oklahoma State,65,1,15
2025-01-08,@ Oklahoma,Texas A&M vs. Oklahoma,Oklahoma,78,Texas A&M,80,0,-2
2025-01-15,@ Oklahoma,Texas vs. Oklahoma,Oklahoma,73,Texas,77,0,-4
2025-01-18,@ Oklahoma,South Carolina vs. Oklahoma,Oklahoma,82,South Carolina,62,1,20
2025-01-28,@ Texas A&M,Oklahoma vs. Texas A&M,Texas A&M,75,Oklahoma,68,1,7
2025-02-01,@ Oklahoma,Vanderbilt vs. Oklahoma,Oklahoma,97,Vanderbilt,67,1,30
2025-02-08,@ Oklahoma,Tennessee vs. Oklahoma,Oklahoma,52,Tennessee,70,0,-18
2025-03-01,@ Ole Miss,Oklahoma vs. Ole Miss,Ole Miss,87,Oklahoma,84,1,3
2025-03-08,@ Texas,Oklahoma vs. Texas,Texas,72,Oklahoma,76,0,-4
2024-11-10,@ Oklahoma State,St. Thomas vs. Oklahoma State,Oklahoma State,80,St. Thomas,71,1,9
2024-11-14,@ Oklahoma State,Southern Illinois vs. Oklahoma State,Oklahoma State,85,Southern Illinois,78,1,7
2024-12-04,@ Tulsa,Oklahoma State vs. Tulsa,Tulsa,55,Oklahoma State,76,0,-21
2024-12-08,@ Seton Hall,Oklahoma State vs. Seton Hall,Seton Hall,76,Oklahoma State,85,0,-9
2024-12-18,@ Oklahoma State,Tarleton State vs. Oklahoma State,Oklahoma State,66,Tarleton State,61,1,5
2024-12-22,@ Oklahoma State,Oral Roberts vs. Oklahoma State,Oklahoma State,86,Oral Roberts,74,1,12
2025-01-04,@ West Virginia,Oklahoma State vs. West Virginia,West Virginia,69,Oklahoma State,50,1,19
2025-01-11,@ Utah,Oklahoma State vs. Utah,Utah,83,Oklahoma State,62,1,21
2025-01-26,@ Texas Tech,Oklahoma State vs. Texas Tech,Texas Tech,64,Oklahoma State,54,1,10
2025-02-01,@ Oklahoma State,Utah vs. Oklahoma State,Oklahoma State,81,Utah,72,1,9
2025-02-12,@ TCU,Oklahoma State vs. TCU,TCU,73,Oklahoma State,72,1,1
2025-02-15,@ Oklahoma State,Texas Tech vs. Oklahoma State,Oklahoma State,55,Texas Tech,93,0,-38
2025-02-19,@ Oklahoma State,UCF vs. Oklahoma State,Oklahoma State,104,UCF,95,1,9
2025-03-05,@ UCF,Oklahoma State vs. UCF,UCF,83,Oklahoma State,70,1,13
2024-11-12,@ Radford,Old Dominion vs. Radford,Radford,87,Old Dominion,75,1,12
2024-12-02,@ Old Dominion,William & Mary vs. Old Dominion,Old Dominion,88,William & Mary,83,1,5
2025-01-04,@ Old Dominion,Southern Mississippi vs. Old Dominion,Old Dominion,74,Southern Mississippi,71,1,3
2025-01-11,@ South Alabama,Old Dominion vs. South Alabama,South Alabama,63,Old Dominion,71,0,-8
2025-02-05,@ Old Dominion,Texas State vs. Old Dominion,Old Dominion,75,Texas State,64,1,11
2025-03-06,Neutral,Texas State vs. Old Dominion,Old Dominion,64,Texas State,61,1,3
2025-03-08,Neutral,Old Dominion vs. Troy,Troy,75,Old Dominion,59,1,16
2024-11-12,@ Ole Miss,South Alabama vs. Ole Miss,Ole Miss,64,South Alabama,54,1,10
2024-11-21,@ Ole Miss,Oral Roberts vs. Ole Miss,Ole Miss,100,Oral Roberts,68,1,32
2024-11-29,Neutral,Ole Miss vs. Purdue,Purdue,80,Ole Miss,78,1,2
2024-12-14,Neutral,Southern Mississippi vs. Ole Miss,Ole Miss,77,Southern Mississippi,46,1,31
2024-12-17,@ Ole Miss,Southern vs. Ole Miss,Ole Miss,74,Southern,61,1,13
2024-12-21,@ Ole Miss,Queens (NC) vs. Ole Miss,Ole Miss,80,Queens (NC),62,1,18
2025-01-22,@ Ole Miss,Texas A&M vs. Ole Miss,Ole Miss,62,Texas A&M,63,0,-1
2025-01-29,@ Ole Miss,Texas vs. Ole Miss,Ole Miss,72,Texas,69,1,3
2025-02-12,@ South Carolina,Ole Miss vs. South Carolina,South Carolina,68,Ole Miss,72,0,-4
2025-02-22,@ Vanderbilt,Ole Miss vs. Vanderbilt,Vanderbilt,77,Ole Miss,72,1,5
2025-03-05,@ Ole Miss,Tennessee vs. Ole Miss,Ole Miss,78,Tennessee,76,1,2
2024-11-07,@ Stetson,Omaha vs. Stetson,Stetson,76,Omaha,79,0,-3
2024-11-16,@ Southern Utah,Omaha vs. Southern Utah,Southern Utah,79,Omaha,73,1,6
2024-12-07,@ Sacramento State,Omaha vs. Sacramento State,Sacramento State,60,Omaha,70,0,-10
2025-01-11,@ Omaha,South Dakota State vs. Omaha,Omaha,87,South Dakota State,80,1,7
2025-01-23,@ Omaha,St. Thomas vs. Omaha,Omaha,89,St. Thomas,78,1,11
2025-01-25,@ Oral Roberts,Omaha vs. Oral Roberts,Oral Roberts,76,Omaha,84,0,-8
2025-01-29,@ South Dakota,Omaha vs. South Dakota,South Dakota,91,Omaha,87,1,4
2025-02-13,@ South Dakota State,Omaha vs. South Dakota State,South Dakota State,98,Omaha,85,1,13
2025-02-15,@ St. Thomas,Omaha vs. St. Thomas,St. Thomas,95,Omaha,84,1,11
2025-02-22,@ Omaha,South Dakota vs. Omaha,Omaha,93,South Dakota,85,1,8
2025-03-01,@ Omaha,Oral Roberts vs. Omaha,Omaha,80,Oral Roberts,57,1,23
2025-03-08,Neutral,South Dakota vs. Omaha,Omaha,100,South Dakota,75,1,25
2025-03-09,Neutral,St. Thomas vs. Omaha,Omaha,85,St. Thomas,75,1,10
2024-11-13,@ Tulsa,Oral Roberts vs. Tulsa,Tulsa,85,Oral Roberts,76,1,9
2024-12-16,@ Texas Tech,Oral Roberts vs. Texas Tech,Texas Tech,86,Oral Roberts,50,1,36
2025-01-16,@ South Dakota,Oral Roberts vs. South Dakota,South Dakota,92,Oral Roberts,82,1,10
2025-01-18,@ South Dakota State,Oral Roberts vs. South Dakota State,South Dakota State,84,Oral Roberts,70,1,14
2025-01-29,@ St. Thomas,Oral Roberts vs. St. Thomas,St. Thomas,86,Oral Roberts,71,1,15
2025-02-08,@ Oral Roberts,South Dakota vs. Oral Roberts,Oral Roberts,74,South Dakota,75,0,-1
2025-02-22,@ Oral Roberts,St. Thomas vs. Oral Roberts,Oral Roberts,71,St. Thomas,66,1,5
2025-02-27,@ Oral Roberts,South Dakota State vs. Oral Roberts,Oral Roberts,69,South Dakota State,77,0,-8
2024-11-04,@ Oregon,UC Riverside vs. Oregon,Oregon,91,UC Riverside,76,1,15
2024-11-12,@ Oregon,Portland vs. Oregon,Oregon,80,Portland,70,1,10
2024-11-17,@ Oregon,Troy vs. Oregon,Oregon,82,Troy,61,1,21
2024-11-21,@ Oregon State,Oregon vs. Oregon State,Oregon State,75,Oregon,78,0,-3
2024-11-26,Neutral,Texas A&M vs. Oregon,Oregon,80,Texas A&M,70,1,10
2024-11-27,Neutral,San Diego State vs. Oregon,Oregon,78,San Diego State,68,1,10
2024-12-04,@ Southern California,Oregon vs. Southern California,Southern California,60,Oregon,68,0,-8
2024-12-08,@ Oregon,UCLA vs. Oregon,Oregon,71,UCLA,73,0,-2
2024-12-15,@ Oregon,Stephen F. Austin vs. Oregon,Oregon,79,Stephen F. Austin,61,1,18
2024-12-21,Neutral,Stanford vs. Oregon,Oregon,76,Stanford,61,1,15
2024-12-29,@ Oregon,Weber State vs. Oregon,Oregon,89,Weber State,49,1,40
2025-01-12,@ Penn State,Oregon vs. Penn State,Penn State,81,Oregon,82,0,-1
2025-01-18,@ Oregon,Purdue vs. Oregon,Oregon,58,Purdue,65,0,-7
2025-01-21,@ Oregon,Washington vs. Oregon,Oregon,82,Washington,71,1,11
2025-01-30,@ UCLA,Oregon vs. UCLA,UCLA,78,Oregon,52,1,26
2025-02-16,@ Oregon,Rutgers vs. Oregon,Oregon,75,Rutgers,57,1,18
2025-02-22,@ Wisconsin,Oregon vs. Wisconsin,Wisconsin,73,Oregon,77,0,-4
2025-03-01,@ Oregon,Southern California vs. Oregon,Oregon,82,Southern California,61,1,21
2025-03-09,@ Washington,Oregon vs. Washington,Washington,73,Oregon,80,0,-7
2024-11-04,@ Oregon State,Utah Tech vs. Oregon State,Oregon State,80,Utah Tech,57,1,23
2024-11-08,@ Oregon State,Weber State vs. Oregon State,Oregon State,76,Weber State,48,1,28
2024-11-30,@ Oregon State,UC Davis vs. Oregon State,Oregon State,90,UC Davis,57,1,33
2024-12-14,@ Oregon State,UC Irvine vs. Oregon State,Oregon State,67,UC Irvine,55,1,12
2024-12-17,@ Oregon State,Sacramento State vs. Oregon State,Oregon State,82,Sacramento State,45,1,37
2024-12-30,@ Oregon State,Portland vs. Oregon State,Oregon State,89,Portland,79,1,10
2025-01-04,@ Oregon State,San Diego vs. Oregon State,Oregon State,81,San Diego,54,1,27
