G,Date,Location,Opp,Game Type,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp eFG%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
16,2022-01-15,,NJIT,REG (Conf),W,71,56,24,62,0.387,7,25,0.28,17,37,0.459,0.444,16,19,0.842,7,26,33,12,3,5,8,17,17,55,0.309,6,17,0.353,11,38,0.289,0.364,16,18,0.889,9,27,36,10,3,3,15,15,Albany (NY)
17,2022-01-19,@,UMBC,REG (Conf),W,66,54,26,59,0.441,6,22,0.273,20,37,0.541,0.492,8,10,0.8,7,29,36,11,5,0,7,17,17,49,0.347,8,27,0.296,9,22,0.409,0.429,12,15,0.8,2,22,24,11,1,3,11,14,Albany (NY)
18,2022-01-22,,Stony Brook,REG (Conf),L,75,86,30,67,0.448,6,22,0.273,24,45,0.533,0.493,9,12,0.75,10,18,28,12,7,1,12,21,29,52,0.558,10,21,0.476,19,31,0.613,0.654,18,21,0.857,4,21,25,12,4,5,10,14,Albany (NY)
19,2022-01-26,@,UMass Lowell,REG (Conf),W,64,62,25,58,0.431,3,10,0.3,22,48,0.458,0.457,11,17,0.647,9,24,33,8,7,7,13,18,22,58,0.379,4,16,0.25,18,42,0.429,0.414,14,18,0.778,9,24,33,8,10,8,13,16,Albany (NY)
20,2022-01-29,@,NJIT,REG (Conf),W,64,53,21,46,0.457,8,16,0.5,13,30,0.433,0.543,14,20,0.7,7,26,33,8,5,3,13,17,20,61,0.328,5,23,0.217,15,38,0.395,0.369,8,15,0.533,15,21,36,12,5,5,9,18,Albany (NY)
21,2022-01-31,@,Vermont,REG (Conf),L,61,73,22,51,0.431,11,22,0.5,11,29,0.379,0.539,6,7,0.857,5,16,21,9,4,2,11,18,29,51,0.569,9,22,0.409,20,29,0.69,0.657,6,8,0.75,4,21,25,17,3,2,9,9,Albany (NY)
22,2022-02-02,,UMBC,REG (Conf),L,53,59,22,59,0.373,5,20,0.25,17,39,0.436,0.415,4,4,1.0,5,25,30,10,7,4,13,14,23,56,0.411,5,20,0.25,18,36,0.5,0.455,8,11,0.727,3,27,30,11,6,4,11,7,Albany (NY)
23,2022-02-05,@,Hartford,REG (Conf),W,71,52,29,50,0.58,8,16,0.5,21,34,0.618,0.66,5,5,1.0,5,22,27,14,6,2,14,11,21,52,0.404,6,18,0.333,15,34,0.441,0.462,4,9,0.444,6,15,21,11,7,2,13,11,Albany (NY)
24,2022-02-09,,Maine,REG (Conf),L,63,73,22,51,0.431,4,16,0.25,18,35,0.514,0.471,15,19,0.789,5,20,25,9,3,2,11,15,26,50,0.52,13,22,0.591,13,28,0.464,0.65,8,15,0.533,4,22,26,18,5,3,11,18,Albany (NY)
25,2022-02-12,,Vermont,REG (Conf),L,63,76,26,53,0.491,2,11,0.182,24,42,0.571,0.509,9,13,0.692,7,17,24,10,4,0,16,21,24,49,0.49,6,20,0.3,18,29,0.621,0.551,22,26,0.846,6,20,26,12,8,2,10,12,Albany (NY)
26,2022-02-16,@,Binghamton,REG (Conf),W,68,67,26,54,0.481,10,18,0.556,16,36,0.444,0.574,6,10,0.6,3,17,20,15,6,1,10,13,24,47,0.511,9,18,0.5,15,29,0.517,0.606,10,11,0.909,4,20,24,12,4,4,12,11,Albany (NY)
