G,Date,Location,Opp,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
11,2022-12-17,N,Tulane,W,62,56,25,54,0.463,10,27,0.37,2,6,0.333,5,38,20,4,6,22,13,,21,62,0.339,2,18,0.111,12,13,0.923,4,29,10,9,4,13,12,George Mason
12,2022-12-21,@,Old Dominion,L,77,78,29,53,0.547,11,25,0.44,8,12,0.667,5,23,21,3,1,9,18,,28,53,0.528,9,19,0.474,13,19,0.684,5,24,10,6,1,9,15,George Mason
13,2022-12-23,,Coppin State,W,91,53,31,63,0.492,14,32,0.438,15,18,0.833,10,47,23,5,3,16,19,,17,57,0.298,3,20,0.15,16,26,0.615,5,26,5,8,5,10,19,George Mason
14,2022-12-31,,Richmond,W,62,58,22,45,0.489,3,16,0.188,15,27,0.556,4,32,9,5,3,10,17,,22,55,0.4,6,21,0.286,8,16,0.5,6,29,8,6,0,9,21,George Mason
15,2023-01-04,@,St. Bonaventure,L,69,73,23,55,0.418,8,21,0.381,15,18,0.833,7,29,16,2,0,12,13,,27,51,0.529,9,21,0.429,10,14,0.714,5,29,17,9,4,12,17,George Mason
16,2023-01-07,,Loyola (IL),W,86,75,32,62,0.516,6,18,0.333,16,25,0.64,9,35,12,5,4,7,19,,27,59,0.458,8,24,0.333,13,18,0.722,7,34,12,3,4,11,25,George Mason
17,2023-01-11,@,Saint Louis,L,62,63,22,49,0.449,6,19,0.316,12,23,0.522,8,36,16,7,5,15,15,,23,54,0.426,7,18,0.389,10,15,0.667,4,27,15,6,3,11,17,George Mason
18,2023-01-14,,Davidson,W,67,65,25,54,0.463,6,19,0.316,11,17,0.647,9,33,12,6,2,11,17,,24,54,0.444,7,24,0.292,10,11,0.909,5,27,12,7,0,8,17,George Mason
19,2023-01-16,,George Washington,L,75,78,25,55,0.455,8,19,0.421,17,22,0.773,9,30,13,7,1,17,11,,29,61,0.475,10,24,0.417,10,16,0.625,10,30,12,8,2,13,15,George Mason
20,2023-01-21,@,Rhode Island,W,79,72,30,55,0.545,9,20,0.45,10,19,0.526,6,34,19,6,4,15,22,,23,54,0.426,6,13,0.462,20,26,0.769,5,26,9,12,0,13,20,George Mason
21,2023-01-25,@,VCU,L,52,72,20,49,0.408,6,19,0.316,6,12,0.5,5,22,10,3,3,17,17,,25,50,0.5,7,18,0.389,15,19,0.789,9,33,16,9,3,16,16,George Mason
22,2023-01-29,,St. Joseph's,L,76,79,26,66,0.394,12,31,0.387,12,18,0.667,12,32,18,9,1,9,16,,28,56,0.5,6,21,0.286,17,27,0.63,8,36,6,4,4,13,17,George Mason
23,2023-02-01,,UMass,W,70,59,25,52,0.481,7,20,0.35,13,17,0.765,6,31,14,6,1,14,17,,24,65,0.369,6,26,0.231,5,9,0.556,12,33,12,11,4,14,23,George Mason
24,2023-02-04,@,Loyola (IL),L,61,69,16,50,0.32,4,14,0.286,25,32,0.781,10,37,8,3,4,9,18,,23,54,0.426,6,19,0.316,17,24,0.708,5,29,16,5,1,6,22,George Mason
25,2023-02-08,@,Duquesne,L,52,75,19,51,0.373,5,15,0.333,9,17,0.529,10,38,12,4,5,20,13,,29,63,0.46,9,24,0.375,8,15,0.533,7,31,21,10,7,13,20,George Mason
26,2023-02-11,,Rhode Island,W,75,67,26,50,0.52,8,20,0.4,15,24,0.625,7,30,16,6,2,15,19,,19,48,0.396,4,12,0.333,25,27,0.926,5,23,6,9,4,14,22,George Mason
27,2023-02-15,@,George Washington,W,66,53,27,59,0.458,8,25,0.32,4,9,0.444,10,34,12,5,1,8,11,,23,52,0.442,1,11,0.091,6,9,0.667,2,24,6,3,2,10,17,George Mason
28,2023-02-18,,La Salle,W,70,66,22,56,0.393,5,21,0.238,21,34,0.618,10,34,12,4,7,7,15,,27,64,0.422,7,21,0.333,5,13,0.385,9,37,10,4,3,8,29,George Mason
29,2023-02-25,@,Dayton,W,74,69,25,43,0.581,7,13,0.538,17,23,0.739,3,21,12,6,0,8,24,,23,40,0.575,7,12,0.583,16,27,0.593,4,19,14,0,2,11,18,George Mason
30,2023-03-01,,Fordham,W (1 OT),64,58,18,53,0.34,4,15,0.267,24,37,0.649,7,44,11,7,7,18,25,,15,63,0.238,3,25,0.12,25,34,0.735,11,36,5,11,2,14,30,George Mason
31,2023-03-04,@,Richmond,W,62,60,23,50,0.46,4,20,0.2,12,16,0.75,5,28,11,4,1,12,24,,17,45,0.378,5,17,0.294,21,30,0.7,8,26,9,7,1,12,19,George Mason
32,2023-03-08,N,Richmond,W,62,57,20,50,0.4,6,19,0.316,16,18,0.889,5,30,8,3,0,12,13,,21,50,0.42,1,12,0.083,14,15,0.933,2,21,5,5,5,8,19,George Mason
33,2023-03-09,N,Saint Louis,L,54,82,19,52,0.365,4,18,0.222,12,19,0.632,9,25,12,2,0,14,14,,33,59,0.559,6,18,0.333,10,13,0.769,10,33,26,6,5,9,15,George Mason
1,2022-11-07,,Virginia State,W,85,58,30,61,0.492,10,30,0.333,15,27,0.556,14,46,16,6,7,15,24,,18,59,0.305,5,14,0.357,17,30,0.567,14,39,10,9,1,13,22,George Washington
2,2022-11-11,,Howard,W,85,75,27,49,0.551,8,21,0.381,23,29,0.793,6,34,18,3,4,13,17,,28,64,0.438,9,29,0.31,10,16,0.625,6,20,21,10,4,6,20,George Washington
3,2022-11-14,@,Hofstra,L,80,85,29,53,0.547,11,25,0.44,11,12,0.917,3,26,13,4,5,14,15,,32,63,0.508,14,26,0.538,7,11,0.636,9,26,19,6,1,8,14,George Washington
4,2022-11-18,,Maryland-Eastern Shore,W,69,64,23,51,0.451,4,17,0.235,19,28,0.679,9,35,10,7,2,17,18,,23,63,0.365,6,25,0.24,12,22,0.545,12,34,13,11,1,12,23,George Washington
5,2022-11-22,,UC-San Diego,L,70,75,26,57,0.456,7,25,0.28,11,15,0.733,10,33,14,8,5,12,21,,28,54,0.519,8,17,0.471,11,21,0.524,9,28,12,9,0,12,15,George Washington
6,2022-11-26,,New Hampshire,W,75,54,26,52,0.5,7,21,0.333,16,17,0.941,7,37,13,3,7,9,8,,21,67,0.313,8,32,0.25,4,8,0.5,12,27,16,3,1,4,12,George Washington
7,2022-11-30,,South Carolina,W,79,55,30,59,0.508,12,27,0.444,7,10,0.7,9,36,21,6,3,12,11,,21,65,0.323,8,25,0.32,5,9,0.556,13,33,13,5,4,11,11,George Washington
8,2022-12-04,@,Radford,L,76,86,28,59,0.475,9,27,0.333,11,19,0.579,5,21,10,6,2,11,19,,32,58,0.552,6,16,0.375,16,21,0.762,7,33,18,7,3,11,15,George Washington
9,2022-12-10,,American,L,64,69,21,55,0.382,7,29,0.241,15,20,0.75,6,24,10,10,3,9,18,,24,48,0.5,8,27,0.296,13,18,0.722,6,29,16,6,4,14,15,George Washington
10,2022-12-13,,Coppin State,W,83,71,28,61,0.459,10,31,0.323,17,19,0.895,14,41,15,4,2,13,10,,29,57,0.509,8,24,0.333,5,10,0.5,2,20,7,9,2,9,18,George Washington
11,2022-12-22,N,Washington State,L,64,66,27,55,0.491,3,18,0.167,7,12,0.583,4,25,11,4,1,8,17,,24,57,0.421,7,26,0.269,11,18,0.611,12,38,13,5,0,13,15,George Washington
12,2022-12-23,N,Pepperdine,L,70,81,27,62,0.435,2,11,0.182,14,17,0.824,6,24,7,7,1,13,17,,33,61,0.541,8,24,0.333,7,12,0.583,9,38,15,5,3,18,15,George Washington
13,2022-12-25,N,Seattle,L,67,85,22,53,0.415,6,26,0.231,17,29,0.586,3,21,7,6,3,10,10,,31,71,0.437,10,36,0.278,13,14,0.929,12,43,21,3,0,12,21,George Washington
14,2022-12-31,@,Loyola (IL),W,97,87,32,50,0.64,10,17,0.588,23,25,0.92,8,30,16,3,4,16,15,,35,68,0.515,9,25,0.36,8,11,0.727,12,22,16,7,0,9,18,George Washington
15,2023-01-04,@,Richmond,L,63,73,25,61,0.41,5,26,0.192,8,9,0.889,8,30,9,6,4,7,21,,23,48,0.479,6,15,0.4,21,27,0.778,5,34,10,6,0,11,15,George Washington
16,2023-01-07,,UMass,W,81,73,27,57,0.474,7,23,0.304,20,25,0.8,9,35,13,9,4,14,13,,29,66,0.439,9,22,0.409,6,9,0.667,9,31,19,9,5,16,18,George Washington
17,2023-01-14,,Saint Louis,L,74,81,27,64,0.422,9,33,0.273,11,12,0.917,6,30,13,5,1,10,19,,29,55,0.527,7,16,0.438,16,23,0.696,4,33,11,7,2,8,15,George Washington
18,2023-01-16,@,George Mason,W,78,75,29,61,0.475,10,24,0.417,10,16,0.625,10,30,12,8,2,13,15,,25,55,0.455,8,19,0.421,17,22,0.773,9,30,13,7,1,17,11,George Washington
19,2023-01-21,,Dayton,W,76,69,25,51,0.49,5,14,0.357,21,26,0.808,3,36,12,1,3,11,14,,24,67,0.358,8,27,0.296,13,14,0.929,9,34,12,5,4,6,19,George Washington
20,2023-01-25,,St. Joseph's,W (1 OT),92,91,27,64,0.422,11,26,0.423,27,35,0.771,13,41,15,5,3,13,17,,36,77,0.468,10,31,0.323,9,17,0.529,14,39,14,4,5,11,23,George Washington
21,2023-01-28,@,Fordham,L,70,85,26,56,0.464,5,20,0.25,13,21,0.619,6,33,9,8,1,17,12,,30,64,0.469,9,24,0.375,16,20,0.8,6,30,18,14,5,8,16,George Washington
22,2023-02-01,@,La Salle,L,64,75,21,56,0.375,6,20,0.3,16,22,0.727,11,32,9,7,4,16,22,,26,53,0.491,5,15,0.333,18,25,0.72,10,34,14,7,2,15,19,George Washington
23,2023-02-04,,Duquesne,L,67,93,24,57,0.421,8,22,0.364,11,17,0.647,11,33,13,5,3,17,13,,34,65,0.523,17,32,0.531,8,9,0.889,8,32,22,10,4,12,17,George Washington
24,2023-02-08,,Richmond,W (2 OT),107,105,40,72,0.556,14,29,0.483,13,21,0.619,10,39,22,5,2,12,23,,37,72,0.514,12,32,0.375,19,25,0.76,10,31,16,7,3,6,20,George Washington
25,2023-02-11,@,St. Joseph's,L,69,81,23,60,0.383,5,20,0.25,18,26,0.692,8,33,13,10,7,14,27,,25,58,0.431,8,23,0.348,23,33,0.697,9,38,12,6,4,15,20,George Washington
26,2023-02-15,,George Mason,L,53,66,23,52,0.442,1,11,0.091,6,9,0.667,2,24,6,3,2,10,17,,27,59,0.458,8,25,0.32,4,9,0.444,10,34,12,5,1,8,11,George Washington
27,2023-02-19,@,St. Bonaventure,W (1 OT),83,81,29,57,0.509,7,19,0.368,18,26,0.692,6,42,17,7,3,18,15,,29,76,0.382,9,30,0.3,14,18,0.778,11,33,9,9,3,8,20,George Washington
28,2023-02-22,@,Rhode Island,W (1 OT),89,80,35,67,0.522,8,24,0.333,11,18,0.611,8,37,16,9,8,11,17,,30,72,0.417,6,20,0.3,14,17,0.824,13,37,12,7,4,12,18,George Washington
29,2023-02-25,,La Salle,W,92,85,34,58,0.586,6,14,0.429,18,27,0.667,9,37,14,4,6,12,14,,32,80,0.4,13,35,0.371,8,14,0.571,19,36,10,7,2,9,22,George Washington
30,2023-03-01,@,Davidson,W,75,70,27,57,0.474,5,18,0.278,16,18,0.889,6,33,7,6,2,5,10,,25,62,0.403,10,31,0.323,10,10,1.0,9,32,15,4,0,8,13,George Washington
